Tweet Id,Text,Name,Screen Name,UTC,Created At,Favorites,Retweets,Language,Client,Tweet Type,URLs,Hashtags,Mentions,Media Type,Media URLs,,,
1347269299229126658,RT @1v1ok : Elon Musk’s reaction to him being the richest person in the world https://t.co/QD0zTaPQNm,rage 🌞 ♏ 🌙 ♐,0075444gag,2021-01-07T19:50:06.000Z,Thu Jan 07 19:50:06 +0000 2021,0,0,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Retweet,,0,0,photo,https://pbs.twimg.com/media/ErJVX6CXAAQbVRK.jpg,,,
1347269299073855496,RT @zei_squirrel : elon musk has just become the richest person in the world. here's a reminder that he is a con-man who cosplays as a self-made billionaire brain-genius even though he's the son of an apartheid south african emerald mine owner who got his wealth by sucking on the state's teat https://t.co/Ydq1YjLjDH,Judith,elizz_judith,2021-01-07T19:50:06.000Z,Thu Jan 07 19:50:06 +0000 2021,0,0,en,"<a href=""http://twitter.com/#!/download/ipad"" rel=""nofollow"">Twitter for iPad</a>",Retweet,,0,0,photo,https://pbs.twimg.com/media/ErJQpxuXUAEXInu.jpg,https://pbs.twimg.com/media/ErJQsWUW4AQ7tKK.png,https://pbs.twimg.com/media/ErJQ4KbWMAIqTNS.jpg,
1347269296746078210,"RT @Forbes : No, Elon Musk is not the richest person in the world—yet https://t.co/1HuVm3iHXO by @skleb1234 https://t.co/9MunzHaSjb",Queen👑🇿🇦,queenshokane,2021-01-07T19:50:06.000Z,Thu Jan 07 19:50:06 +0000 2021,0,0,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Retweet,http://on.forbes.com/6017HVAzX ,0,1,photo,https://pbs.twimg.com/media/ErJ00HUWMAEFOZm.jpg,,,
1347269295085035520,RT @zei_squirrel : elon musk has just become the richest person in the world. here's a reminder that he is a con-man who cosplays as a self-made billionaire brain-genius even though he's the son of an apartheid south african emerald mine owner who got his wealth by sucking on the state's teat https://t.co/Ydq1YjLjDH,alberto,pinktofuu,2021-01-07T19:50:05.000Z,Thu Jan 07 19:50:05 +0000 2021,0,0,en,"<a href=""http://twitter.com/download/iphone"" rel=""nofollow"">Twitter for iPhone</a>",Retweet,,0,0,photo,https://pbs.twimg.com/media/ErJQpxuXUAEXInu.jpg,https://pbs.twimg.com/media/ErJQsWUW4AQ7tKK.png,https://pbs.twimg.com/media/ErJQ4KbWMAIqTNS.jpg,
1347269295034785792,Elon Musk likely surpasses Jeff Bezos to become world’s richest person https://t.co/BDXHNe6AWw,#ThisIsTheConversation,th_conversation,2021-01-07T19:50:05.000Z,Thu Jan 07 19:50:05 +0000 2021,0,0,en,"<a href=""https://www.hootsuite.com"" rel=""nofollow"">Hootsuite Inc.</a>",Tweet,http://wapo.st/35iPmwC ,0,0,,,,,
1347269294913171457,"RT @MagnusHeystek : Not bad for a little boykie from Fourways,South Africa.
Elon Musk is now the richest person on the planet, surpassing Jeff Bezos with a net worth of $188.5 billion https://t.co/Ja51WtOWBT via @business",Kevin,greyscout888,2021-01-07T19:50:05.000Z,Thu Jan 07 19:50:05 +0000 2021,0,0,en,"<a href=""http://twitter.com/download/android"" rel=""nofollow"">Twitter for Android</a>",Retweet,https://www.bloomberg.com/news/articles/2021-01-06/musk-close-to-surpassing-bezos-as-world-s-richest-person ,0,1,,,,,
1347269293394767872,Elon Musk becomes the world’s richest person surpassing Jeff Bezos #Uncategorized https://t.co/7TDZXqwiiC,TechloMedia,TheTechloMedia,2021-01-07T19:50:05.000Z,Thu Jan 07 19:50:05 +0000 2021,0,0,en,"<a href=""https://social.techlomedia.in/"" rel=""nofollow"">TMedia Social</a>",Tweet,https://techlomedia.in/2021/01/elon-musk-becomes-the-worlds-richest-person-surpassing-jeff-bezos-80226/ ,1,0,,,,,
1347269288588169217,Elon Musk becomes the world’s richest person surpassing Jeff Bezos #Uncategorized https://t.co/EdPHrCDrTN,Deepanker Verma,deepanker70,2021-01-07T19:50:04.000Z,Thu Jan 07 19:50:04 +0000 2021,0,0,en,"<a href=""https://social.techlomedia.in/"" rel=""nofollow"">TMedia Social</a>",Tweet,https://techlomedia.in/2021/01/elon-musk-becomes-the-worlds-richest-person-surpassing-jeff-bezos-80226/ ,1,0,,,,,
1347269285756878848,"Elon Musk Surpasses Amazon's Bezos as the World's Richest Person: Bloomberg reports that the Tesla president's net worth grew to more than $ 188.5 billion, about $1.5 billion more than Bezos'. https://t.co/rJUwEczC8b https://t.co/aYtFyXQYWE",Hans Bergmeier🏝,hanscoach,2021-01-07T19:50:03.000Z,Thu Jan 07 19:50:03 +0000 2021,0,0,en,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>",Tweet,http://dlvr.it/Rq6NRw ,0,0,photo,https://pbs.twimg.com/media/ErJ2RpCU0AA5CFc.jpg,,,
1347269284771205120,Elon Musk Surpasses Amazon's Bezos as the World's Richest Person https://t.co/3lZsTucJhA https://t.co/4iyyBRWaFu,montu patel,omi_1432,2021-01-07T19:50:03.000Z,Thu Jan 07 19:50:03 +0000 2021,0,0,en,"<a href=""https://dlvrit.com/"" rel=""nofollow"">dlvr.it</a>",Tweet,http://dlvr.it/Rq6NQr ,0,0,photo,https://pbs.twimg.com/media/ErJ2Rk_UYAAYOI1.jpg,,,
